player,year,team,career_av
Leo Chenal,2022,KAN,20.0
Levi Drake Rodriguez,2024,MIN,3.0
Levi Onwuzurike,2021,DET,7.0
Lewis Cine,2022,MIN,0.0
Liam Eichenberg,2021,MIA,23.0
Logan Bruss,2022,LAR,2.0
Logan Hall,2022,TAM,19.0
Logan Lee,2024,PIT,0.0
Logan Wilson,2020,CIN,32.0
Lukas Van Ness,2023,GNB,4.0
Luke Goedeke,2022,TAM,22.0
Luke Tenuta,2022,BUF,0.0
Luke Wattenberg,2022,DEN,12.0
Luke Wypler,2023,CLE,3.0
M.J. Devonshire,2024,LVR,
Maason Smith,2024,JAX,4.0
Mac McWilliams,2025,PHI,0.0
Malachi Moore,2025,NYJ,4.0
Malaesala Aumavae-Laulu,2023,BAL,0.0
Malaki Starks,2025,BAL,5.0
Malcolm Koonce,2021,LVR,9.0
Malcolm Rodriguez,2022,DET,12.0
Malik Harrison,2020,BAL,19.0
Malik Mustapha,2024,SFO,8.0
Marcellas Dial,2024,NWE,1.0
Marco Wilson,2021,ARI,12.0
Marcus Bryant,2025,NWE,1.0
Marcus Harris,2024,HOU,
Marcus Harris,2025,TEN,2.0
Marcus Jones,2022,NWE,26.0
Marcus Mbow,2025,NYG,2.0
Marcus McKethan,2022,NYG,2.0
Marist Liufau,2024,DAL,6.0
Mark Robinson,2022,PIT,4.0
Mark Webb,2021,LAC,0.0
Markus Bailey,2020,CIN,7.0
Marlon Davidson,2020,ATL,5.0
Marlon Tuipulotu,2021,PHI,2.0
Marques Sigle,2025,SFO,3.0
Marquis Hayes,2022,ARI,
Marquiss Spencer,2021,DEN,0.0
Marshawn Kneeland,2024,DAL,2.0
Marte Mapu,2023,NWE,7.0
Martin Emerson,2022,CLE,13.0
Mason Graham,2025,CLE,8.0
Mason McCormick,2024,PIT,13.0
Mason Richman,2025,SEA,0.0
Matt Araiza,2022,BUF,5.0
Matt Goncalves,2024,IND,12.0
Matt Henningsen,2022,DEN,2.0
Matt Waletzko,2022,DAL,0.0
Matthew Bergeron,2023,ATL,17.0
Matthew Butler,2022,LVR,2.0
Max Melton,2024,ARI,4.0
Maxwell Hairston,2025,BUF,2.0
Mazi Smith,2023,DAL,9.0
McKinnley Jackson,2024,CIN,2.0
McTelvin Agim,2020,DEN,2.0
Mekhi Blackmon,2023,MIN,6.0
Mekhi Wingo,2024,DET,1.0
Micah Abraham,2024,IND,
Micah McFadden,2022,NYG,18.0
Micah Parsons,2021,DAL,67.0
Micah Robinson,2025,GNB,1.0
Michael Barrett,2024,CAR,
Michael Carter II,2021,NYJ,11.0
