age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
23.0,75.0,307.0,5.02,20.5,102.0,1,0,0,3,2.9480995243190486,5,1,96.68375352743055,4.1,28.0,25.6,14.0,5.0,0.0,-1.247388547203139,-0.6344141062756925,-0.9409013267394156,3,0.5084745762711864,4.724137931034483,1.7091466484798348
24.0,,,,,,0,0,0,3,,0,0,,23.2,39.3,17.7,13.0,5.0,0.0,,,,3,0.4615384615384615,4.724137931034483,1.7091466484798348
22.0,78.0,311.0,4.93,30.0,111.0,1,1,0,1,7.414608901113589,6,1,105.293777729797,,,,,5.0,0.0,0.7890457786959345,-0.3011864948985622,0.2439296418986861,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,76.0,325.0,,,,1,0,0,3,,0,0,,15.9,36.8,21.7,10.0,5.0,0.0,-0.5685771052367812,0.8651101449213937,0.1482665198423062,3,0.588235294117647,4.724137931034483,1.7091466484798348
23.0,78.0,312.0,,36.5,111.0,1,0,0,1,8.401245595207186,2,0,,,,,,5.0,0.0,0.7890457786959345,-0.2178795920542796,0.2855830933208274,8,1.568627450980392,5.0,2.273030282830976
22.0,76.0,302.0,5.17,34.0,115.0,1,0,0,3,6.374710499218042,4,1,84.54243772092944,-9.8,26.2,34.8,29.0,5.0,0.0,-0.5685771052367812,-1.0509486204971052,-0.8097628628669432,8,1.4035087719298245,3.631578947368421,1.9785478244406585
21.0,76.0,310.0,4.93,29.0,108.0,1,0,0,3,5.274274368317482,5,1,104.95521252809348,6.4,37.8,31.7,42.0,4.0,0.0,-0.5685771052367812,-0.3844933977428448,-0.476535251489813,8,1.3559322033898304,3.631578947368421,1.9785478244406585
21.0,78.0,350.0,5.32,29.0,110.0,1,0,0,3,2.5547382963206577,6,1,87.38794181301996,26.8,34.2,10.0,12.0,4.0,0.0,0.7890457786959345,2.947782716028458,1.8684142473621963,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,77.0,306.0,5.02,29.5,114.0,1,0,0,3,5.640939290409735,4,1,96.3688227341816,21.0,33.9,14.9,2.0,5.0,0.0,0.1102343367295766,-0.717721009119975,-0.3037433361951991,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,79.0,314.0,,,,1,1,0,3,,0,0,,3.0,23.0,19.8,25.0,5.0,0.0,1.4678572206622924,-0.0512657863657145,0.708295717148289,8,1.568627450980392,5.0,2.273030282830976
21.0,76.0,317.0,,,,1,0,0,3,,0,0,,26.1,42.6,16.7,20.0,4.0,0.0,-0.5685771052367812,0.1986549221671331,-0.1849610915348239,8,1.4285714285714284,3.631578947368421,1.9785478244406585
23.0,76.0,303.0,5.5,,,1,0,0,3,3.2501312398778524,2,0,66.22498463219725,19.0,35.6,15.5,28.0,5.0,0.0,-0.5685771052367812,-0.9676417176528228,-0.7681094114448019,3,0.5263157894736842,4.3125,1.8874586088176872
23.0,80.0,339.0,5.14,35.0,112.0,1,0,0,3,7.012518268722898,3,1,97.13532953779234,15.8,27.0,13.3,44.0,5.0,0.0,2.14666866262865,2.0314067847413497,2.089037723685,8,1.568627450980392,5.0,2.273030282830976
23.0,76.0,311.0,5.25,30.0,106.0,1,0,0,2,4.443100061452297,6,1,81.8753502912881,0.6,31.6,31.2,121.0,5.0,0.0,-0.5685771052367812,-0.3011864948985622,-0.4348818000676717,8,1.4285714285714284,3.631578947368421,1.9785478244406585
21.0,,,,,,0,0,0,3,,0,0,,32.4,47.7,14.6,40.0,4.0,0.0,,,,8,1.4035087719298245,3.631578947368421,1.9785478244406585
