age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
22.0,76.0,238.0,4.42,40.5,126.0,1,1,0,1,6.813351593303664,4,1,124.71476575007276,17.7,35.8,18.5,35.0,5.0,0.0,1.0835825268725572,1.0639270008448278,1.0737547638586924,7,0.9333333333333332,3.888324873096447,2.0498172482106414,15.942028985507244,5589.0,,,,,,59.0,47.0,12.0,891.0,15.1
22.0,,,,,,0,0,0,3,,0,0,,6.2,34.8,27.4,21.0,5.0,0.0,,,,5,0.625,4.105882352941176,1.7184123999990772,0.0,5730.0,,,,,,,,,,
23.0,73.0,196.0,4.34,38.5,128.0,1,1,0,3,7.088458507859748,5,1,110.49106227853036,13.8,31.7,20.0,5.0,5.0,0.0,0.0723039738400089,-0.7189359115487427,-0.3233159688543668,7,0.853658536585366,3.888324873096447,2.0498172482106414,13.571710786250494,5062.0,,,,,,36.0,44.0,2.0,687.0,19.1
23.0,71.0,211.0,4.5,40.5,127.0,1,1,0,3,6.9899321620245605,6,1,102.91114159426915,10.7,33.0,22.2,56.0,5.0,0.0,-0.6018817281816898,-0.0821991571224675,-0.3420404426520786,2,0.2631578947368421,4.434426229508197,1.7860233537478658,6.989951944080384,2289.0,16.0,16.0,1.0,73.0,4.6,9.0,23.0,0.0,87.0,9.7
22.0,72.0,187.0,4.39,32.0,124.0,1,0,0,2,4.8262485969226026,3,1,100.69630189361584,-11.6,25.1,35.2,129.0,5.0,0.0,-0.2647888771708405,-1.100977964204508,-0.6828834206876742,7,0.875,3.888324873096447,2.0498172482106414,0.0,4457.0,,,,,,,,,,
22.0,,,,,,0,1,0,3,,0,0,,13.0,23.2,9.9,16.0,5.0,0.0,,,,2,0.2631578947368421,4.434426229508197,1.7860233537478658,22.36436863302535,4221.0,174.0,72.0,6.0,903.0,5.2,5.0,17.0,0.0,41.0,8.2
23.0,76.0,208.0,4.36,38.5,136.0,1,0,0,1,8.727618729489754,3,1,115.1190967980944,,,,,5.0,0.0,1.0835825268725572,-0.2095465080077226,0.4370180094324173,7,0.875,3.888324873096447,2.0498172482106414,,,,,,,,,,,,
22.0,72.0,210.0,4.48,36.0,120.0,1,1,0,3,4.62567513983948,6,1,104.2646847382926,17.8,43.0,25.2,19.0,5.0,0.0,-0.2647888771708405,-0.1246482740842192,-0.1947185756275298,2,0.2631578947368421,4.434426229508197,1.7860233537478658,12.403528114663729,5442.0,132.0,32.0,5.0,623.0,4.7,8.0,21.0,1.0,52.0,6.5
21.0,67.0,207.0,4.6,39.5,123.0,1,1,0,3,4.760867823347828,4,1,92.46322018574836,33.1,48.9,17.7,3.0,4.0,0.0,-1.950253132225088,-0.2519956249694742,-1.1011243785972809,2,0.2666666666666666,4.434426229508197,1.7860233537478658,19.80999296270232,8526.0,197.0,89.0,16.0,1290.0,6.5,50.0,26.0,1.0,399.0,8.0
21.0,79.0,252.0,4.77,32.5,109.0,1,1,0,3,1.6843171767658165,6,1,97.35472184653864,-4.7,27.2,32.2,5.0,4.0,0.0,2.094861079905105,1.6582146383093517,1.8765378591072284,5,0.6666666666666666,4.105882352941176,1.7184123999990772,13.36206896551724,4408.0,,,,,,48.0,36.0,1.0,589.0,12.3
