player,position,school,independent_grade,pick_slot,modal_round,probability,most_likely_team,n_r1_landings,n_any_landings,mean_landing_pick,variance_landing_pick
Keldric Faulk,EDGE,Auburn,-4.0,23,1,0.84,PHI,50,50,22.98,0.9396
Antonio Williams,WR,Clemson,18.0,24,1,0.26,CLE,47,50,25.16,15.4544
Jalon Kilgore,S,South Carolina,56.0,25,1,0.3,CHI,15,50,65.06,1774.1764
Trey Zuhn III,OT,Texas A&M,64.0,27,1,0.7,SF,14,50,108.42,3008.8036
Connor Lew,IOL,Auburn,48.0,27,1,0.56,SF,49,50,25.44,6.4464
Kage Casey,OT,Boise State,159.47,27,1,0.02,SF,1,1,27.0,0.0
Logan Jones,IOL,Iowa,39.0,28,1,0.76,HOU,20,50,42.16,248.0144
Skyler Bell,WR,UConn,55.0,29,1,0.3,KC,21,50,66.2,1607.6
Max Klare,TE,Ohio State,63.0,29,1,0.48,KC,33,50,30.8,5.68
Ty Simpson,QB,Alabama,-6.0,30,1,0.42,MIA,29,50,30.88,6.4656
Blake Miller,OT,Clemson,-10.0,31,1,0.66,NE,40,50,31.68,1.3776
Akheem Mesidor,EDGE,Miami (FL),-7.0,32,1,0.58,SEA,47,50,31.56,0.8864
Max Iheanachor,OT,Arizona State,-11.0,34,2,0.74,ARI,0,50,34.7,1.69
Dani Dennis-Sutton,EDGE,Penn State,35.0,35,2,0.26,DET,8,50,40.22,123.7316
Denzel Boston,WR,Washington,-9.0,36,2,0.44,LV,0,50,36.24,0.5024
Malachi Fields,WR,Notre Dame,46.0,37,2,0.3,NYG,2,50,43.86,529.8804
Colton Hood,CB,Tennessee,13.0,38,2,0.48,HOU,0,50,39.08,1.5136
Markel Bell,OT,Miami (FL),69.0,39,2,0.52,CLE,8,50,50.34,240.1044
Chris Johnson,CB,San Diego State,1.0,41,2,0.58,CIN,0,50,40.64,0.3504
Elijah Sarratt,WR,Indiana,62.0,42,2,0.46,NO,6,50,75.12,1768.7456
De'Zhaun Stribling,WR,Mississippi,43.0,42,2,0.36,NO,3,50,53.2,273.88
Chris Brazzell,WR,Tennessee,34.0,42,2,0.34,NO,0,50,47.4,55.2
Oscar Delp,TE,Georgia,36.0,44,2,0.46,NYJ,0,48,46.04,10.5399
Emmett Johnson,RB,Nebraska,81.31,44,2,0.32,CLE,0,50,47.22,259.7716
Sam Roush,TE,Stanford,83.4,44,2,0.04,NYJ,0,2,44.0,0.0
Bud Clark,S,TCU,40.0,45,2,0.42,BAL,8,50,41.74,45.7524
KC Concepcion,WR,Texas A&M,14.0,47,2,0.76,IND,0,50,47.98,3.8596
Gracen Halton,DL,Oklahoma,59.0,48,2,0.5,ATL,15,50,41.28,114.0816
Chris McClellan,DL,Missouri,72.0,48,2,0.34,ATL,9,50,48.2,191.56
Chandler Rivers,CB,Duke,54.0,49,2,0.18,CHI,0,50,51.36,98.4704
Kyle Louis,LB,Pittsburgh,23.0,49,2,0.38,MIN,2,50,47.64,60.5904
Keyron Crawford,EDGE,Auburn,45.0,50,2,0.26,SEA,3,50,58.68,351.0976
Michael Trigg,TE,Baylor,130.9,51,2,0.28,WAS,0,37,122.84,4639.5413
Malachi Lawrence,EDGE,UCF,0.0,51,2,0.26,CAR,0,50,54.02,6.8596
Caleb Lomu,OT,Utah,-5.0,52,2,0.36,GB,0,50,50.46,2.7684
Garrett Nussmeier,QB,LSU,81.28,53,2,0.98,PIT,0,50,53.2,1.96
Romello Height,EDGE,Texas Tech,77.08,54,2,0.64,PHI,0,50,63.7,265.37
Jalen Farmer,IOL,Kentucky,51.0,55,2,0.88,LAC,7,50,58.46,374.3284
Peter Woods,DL,Clemson,2.0,56,2,0.72,JAX,0,50,55.04,2.5984
Kayden McDonald,DL,Ohio State,7.0,57,2,0.72,CHI,0,50,57.02,0.6996
Brian Parker II,OT,Duke,65.0,58,2,0.4,SF,0,50,65.5,339.93
Jonah Coleman,RB,Washington,83.29,61,2,0.58,LAR,0,50,60.76,1.5024
Mike Washington Jr.,RB,Arkansas,37.0,62,2,0.8,DEN,0,50,61.4,2.6
Kaytron Allen,RB,Penn State,144.91,62,2,0.06,DEN,0,3,62.0,0.0
Parker Brailsford,IOL,Alabama,133.2,63,2,0.6,NE,1,50,75.46,408.2084
R Mason Thomas,EDGE,Oklahoma,6.0,64,2,0.52,SEA,0,50,64.32,2.7776
Jermod McCoy,CB,Tennessee,-1.0,65,3,0.36,ARI,0,50,65.8,4.32
T.J. Parker,EDGE,Clemson,19.0,66,3,0.88,TEN,0,50,66.24,0.4224
Taylen Green,QB,Arkansas,80.38,67,3,0.8,LV,0,50,66.6,0.64
